title,company,location,skills,Type,Duration,experience_level,salary,date_posted
Material Planning Engineer,Dreem Mashreq Foods  -,"Smouha, Alexandria, Egypt ","['material planning', 'planning', 'engineering', 'erp', 'mrp', 'fmcg', 'food manufacturing', 'raw materials']",On-site,Full Time,Experienced,Confidential,3 hours ago
Production Planning Engineer,Dreem Mashreq Foods  -,"Bourj Alarab, Alexandria, Egypt ","['production planning', 'engineering', 'planning', 'production', 'mrp', 'oee', 'fmcg']",On-site,Full Time,Experienced,Confidential,3 hours ago
Metallurgical Sales Engineer,Optimum Engineering Solutions   -,"6th of October, Giza, Egypt ","['engineering', 'sales', 'metallurgical engineering', 'fresh graduate', 'industrial sales', 'technical sales', 'foundry', 'aluminum', 'cement']",On-site,Full Time,Entry Level,Confidential,2 hours ago
Electrical Maintenance Engineer,iLock -,"Mit Ghamr, Dakahlia, Egypt ","['electrical maintenance', 'electrical engineering']",On-site,Full Time,Experienced,Confidential,1 hour ago
Senior Corporate Sales Executive,Carofi -,"New Cairo, Cairo, Egypt ","['sales', 'sales skills', 'telesales', 'communication', 'outdoor sales', 'sales plan', 'sales planning']",On-site,Full Time,Experienced,Confidential,52 minutes ago
Customer Service Representative - Vodafone Ireland - Cairo,VOIS Egypt -,"Cairo, Egypt ","['customer service', 'fluent in english', 'c1', 'university graduates', 'telecommunication', 'fluent english speakers', 'customer care', 'customer support', 'communication']",Hybrid,Full Time,Entry Level,Confidential,46 minutes ago
Customer Service Representative - Vodafone UK - Cairo/Giza,VOIS Egypt -,"Cairo, Egypt ","['call center', 'customer service', 'customer care', 'customer support', 'english', 'fluent in english', 'vodafone', 'english department', 'international account advisor']",Hybrid,Full Time,Entry Level,Confidential,46 minutes ago
Customer Service Representative - Vodafone UK - Alexandria,VOIS Egypt -,"Alexandria, Egypt ","['customer service', 'customer care', 'customer support', 'english', 'call center', 'contact center', 'fluent in english', 'university graduates', 'c1 english level']",Hybrid,Full Time,Entry Level,Confidential,45 minutes ago
Customer Service Representative - Vodafone UK & Ireland- Cairo,VOIS Egypt -,"Cairo, Egypt ","['customer care', 'customer service', 'customer support', 'english', 'fluent in english', 'university graduates', 'c1 english level']",Hybrid,Full Time,Entry Level,Confidential,44 minutes ago
Customer Service Representative - Vodafone UK - Cairo or Giza Residents,VOIS Egypt -,"Cairo, Egypt ","['communication', 'customer care', 'customer service', 'customer support', 'english']",Hybrid,Full Time,Entry Level,Confidential,43 minutes ago
Sales Executive,Sokkar for Industrial Sewing Machines -,"Kafr Aldawar, Beheira, Egypt ","['customer service', 'sales target', 'sales', 'selling', 'negotiation', 'spare parts', 'communication']",On-site,Full Time,Experienced,Confidential,41 minutes ago
