title,company,skills,Type,Duration,experience_level,salary,date_posted,experience_level_int,city,governorate,country
material planning engineer,dreem mashreq foods,"['material planning', 'planning', 'engineering', 'erp', 'mrp', 'fmcg', 'food manufacturing', 'raw materials']",on-site,full time,experienced,,3 hours ago,2.0,smouha,alexandria,egypt
production planning engineer,dreem mashreq foods,"['production planning', 'engineering', 'planning', 'production', 'mrp', 'oee', 'fmcg']",on-site,full time,experienced,,3 hours ago,2.0,bourj alarab,alexandria,egypt
metallurgical sales engineer,optimum engineering solutions,"['engineering', 'sales', 'metallurgical engineering', 'fresh graduate', 'industrial sales', 'technical sales', 'foundry', 'aluminum', 'cement']",on-site,full time,entry level,,2 hours ago,1.0,6th of october,giza,egypt
electrical maintenance engineer,ilock,"['electrical maintenance', 'electrical engineering']",on-site,full time,experienced,,1 hour ago,2.0,mit ghamr,dakahlia,egypt
senior corporate sales executive,carofi,"['sales', 'sales skills', 'telesales', 'communication', 'outdoor sales', 'sales plan', 'sales planning']",on-site,full time,experienced,,52 minutes ago,2.0,new cairo,cairo,egypt
customer service representative - vodafone ireland - cairo,vois egypt,"['customer service', 'fluent in english', 'c1', 'university graduates', 'telecommunication', 'fluent english speakers', 'customer care', 'customer support', 'communication']",hybrid,full time,entry level,,46 minutes ago,1.0,cairo,cairo,egypt
customer service representative - vodafone uk - cairo/giza,vois egypt,"['call center', 'customer service', 'customer care', 'customer support', 'english', 'fluent in english', 'vodafone', 'english department', 'international account advisor']",hybrid,full time,entry level,,46 minutes ago,1.0,cairo,cairo,egypt
customer service representative - vodafone uk - alexandria,vois egypt,"['customer service', 'customer care', 'customer support', 'english', 'call center', 'contact center', 'fluent in english', 'university graduates', 'c1 english level']",hybrid,full time,entry level,,45 minutes ago,1.0,alexandria,alexandria,egypt
customer service representative - vodafone uk & ireland- cairo,vois egypt,"['customer care', 'customer service', 'customer support', 'english', 'fluent in english', 'university graduates', 'c1 english level']",hybrid,full time,entry level,,44 minutes ago,1.0,cairo,cairo,egypt
customer service representative - vodafone uk - cairo or giza residents,vois egypt,"['communication', 'customer care', 'customer service', 'customer support', 'english']",hybrid,full time,entry level,,43 minutes ago,1.0,cairo,cairo,egypt
sales executive,sokkar for industrial sewing machines,"['customer service', 'sales target', 'sales', 'selling', 'negotiation', 'spare parts', 'communication']",on-site,full time,experienced,,41 minutes ago,2.0,kafr aldawar,beheira,egypt
senior electrical engineer,el mansour development,"['electrical engineering', 'engineering', 'information technology (it)', 'troubleshooting', 'autocad', 'computer science', 'construction', 'management']",on-site,full time,experienced,,26 minutes ago,2.0,mokattam,cairo,egypt
network & security engineer,target integrated systems,"['networking', 'information technology (it)', 'engineering', 'computer science', 'security', 'vpn', 'ccna']",on-site,full time,entry level,,24 minutes ago,1.0,maadi,cairo,egypt
procurement manager,al andalous pharmaceutical industries,"['procurement', 'supply chain']",on-site,full time,manager,,5 minutes ago,3.0,6th of october,giza,egypt
mechanical design engineer,rudder industries,"['mechanical design', 'engineering', 'design', 'cad software', 'solidworks', 'fea analysis', 'prototyping', 'manufacturing processes']",on-site,full time,experienced,,7 minutes ago,2.0,10th of ramadan city,cairo,egypt
senior content creator,madar soft,"['writing', 'marketing', 'social media']",remote,full time,experienced,,13 minutes ago,2.0,fleming,alexandria,egypt
quality senior specialist,dabur,"['management', 'quality assurance', 'quality control', 'supply chain', 'communication']",on-site,full time,experienced,,14 minutes ago,2.0,10th of ramadan city,cairo,egypt
project engineer,arabiat,"['engineering', 'project management', 'project', 'civil engineering', 'architectural engineering', 'autocad', 'computer science', 'construction', 'information technology (it)']",on-site,full time,entry level,,14 minutes ago,1.0,mohandessin,giza,egypt
technical sales engineer,technical-for-engineering-services-egypt,"['engineering', 'sales', 'technical sales', 'autocad', 'construction', 'microsoft office', 'communication']",hybrid,full time,experienced,,16 minutes ago,2.0,cairo,cairo,egypt
operations support specialist – transport,ship & c.r.e.w,"['transport', 'operations support', 'customer support', 'analysis', 'data analysis', 'logistics', 'transportation']",on-site,full time,experienced,,17 minutes ago,2.0,ameria,alexandria,egypt
r&d raw material section head,al andalous pharmaceutical industries,"['r&d', 'raw materials', 'pharmaceutical industries', 'pharmacy', 'gmp', 'glp']",on-site,full time,experienced,,18 minutes ago,2.0,6th of october,giza,egypt
business developer,massoud steel,"['b2b', 'business administration', 'sales target', 'sales', 'corporate sales', 'business development', 'communication', 'microsoft office']",on-site,full time,experienced,,20 minutes ago,2.0,obour city,cairo,egypt
accounting manager,technical-for-engineering-services-egypt,"['accounting', 'financial analysis', 'financial management', 'finance', 'erp', 'microsoft excel', 'construction']",on-site,full time,manager,,21 minutes ago,3.0,bourj alarab,alexandria,egypt
microsoft dynamics 365 crm developer,cubic information systems,"['microsoft dynamics 365 crm', '.net framework', 'c# programming', 'solution customization', 'technical documentation', 'problem solving', 'system integration', 'javascript']",on-site,full time,experienced,,38 minutes ago,2.0,maadi,cairo,egypt
store keeper,anut cairo,"['odoo', 'inventory management', 'warehousing', 'storekeeping', 'logistics coordination', 'supply chain operations', 'data entry', 'attention to detail', 'organizational skills']",on-site,full time,entry level,,42 minutes ago,1.0,giza,giza,egypt
technical office engineer - woodworking,ds home,"['technical office', 'sketchup', 'autocad', 'woodworks', 'cnc machines', 'technical drawing', 'material selection', 'project coordination', 'problem-solving']",on-site,full time,experienced,,44 minutes ago,2.0,cairo,cairo,egypt
odoo project manager,pharos university in alexandria,"['odoo', 'project management', 'odoo erp', 'information technology (it)', 'project', 'pmp', 'software project management', 'odoo development']",on-site,full time,manager,,49 minutes ago,3.0,smouha,alexandria,egypt
logistic specialist,atr trading,"['logistics', 'supply chain management', 'export procedures', 'documentation', 'shipping line coordination', 'inventory management', 'customs regulations', 'problem solving']",on-site,full time,entry level,,55 minutes ago,1.0,new cairo,cairo,egypt
accountant specialist - collection,otic,"['collection', 'accounting', 'finance', 'commerce', 'erp', 'ms office', 'sap']",on-site,full time,entry level,,60 minutes ago,1.0,cairo,cairo,egypt
sales representative,confidential,"['web application', 'sales', 'diving']",remote,freelance / project,experienced,,1 hour ago,2.0,dahab,south sinai,egypt
video editor,parkville pharmaceuticals,"['video editing', 'advertising', 'ai']",on-site,full time,entry level,,1 hour ago,1.0,mohandessin,giza,egypt
call center agent (fluent english),etisalat egypt,"['call center', 'customer care', 'customer service', 'customer support', 'english teaching', 'english', 'insurance', 'promoting', 'training']",on-site,full time,entry level,,1 hour ago,1.0,maadi,cairo,egypt
lead qualification & marketing coordinator,specialized seamless services,"['lead generation', 'business development', 'administration', 'marketing']",on-site,full time,entry level,,1 hour ago,1.0,heliopolis,cairo,egypt
senior export sales,atr trading,"['negotiation', 'export', 'export sales', 'sales target', 'frozen fruit', 'frozen vegetables', 'iqf', 'market research']",on-site,full time,experienced,,2 hours ago,2.0,new cairo,cairo,egypt
music teacher for elementary,canadian international school,"['drama', 'music editing', 'theater', 'english teaching', 'english training', 'english education', 'class management', 'teaching']",on-site,full time,experienced,,2 hours ago,2.0,new cairo,cairo,egypt
marketing specialist,noornation,"['e-marketing', 'marketing', 'brand strategy', 'content creation', 'digital marketing', 'lead generation', 'offline marketing']",on-site,full time,entry level,,2 hours ago,1.0,giza,giza,egypt
heavy equipment maintenance engineer,ship & c.r.e.w,"['engineering', 'equipment maintenance', 'heavy equipment', 'maintenance', 'mechanical engineering', 'hydraulic', 'erp', 'microsoft office']",on-site,full time,experienced,,2 hours ago,2.0,gomrok,alexandria,egypt
compliance - assistant manager,otic,"['corporate governance', 'regulatory compliance', 'compliance monitoring', 'compliance risk assessment', 'internal controls', 'policy & sop development', 'regulatory reporting', 'root cause analysis']",on-site,full time,experienced,,2 hours ago,2.0,cairo,cairo,egypt
agricultural engineer for pest control,sotaico,"['pest control', 'agriculture', 'quality assurance', 'quality control']",on-site,full time,experienced,,2 hours ago,2.0,cairo,cairo,egypt
robotics instructor,b.r tech,"['computer science', 'education', 'engineering', 'english', 'instructor', 'robotics', 'science']",on-site,full time,entry level,,2 hours ago,1.0,heliopolis,cairo,egypt
technical support specialist/ it helpdesk engineer,linkmisr,"['computer science', 'technical support', 'helpdesk', 'information technology (it)']",on-site,full time,entry level,,2 hours ago,1.0,10th of ramadan city,sharqia,egypt
customer service (fluent english speaker),3d diagnostix,"['call center agent', 'customer care', 'customer', 'call center', 'customer service', 'english', 'experience']",on-site,full time,entry level,,2 hours ago,1.0,maadi,cairo,egypt
sales engineer,ds home,"['sketchup', 'autocad', 'furniture design', 'furniture sales', 'interior finishing design', 'interior finishing sales', 'request for quotation (rfq)', 'bill of quantity (boq)', 'sales target achievement']",on-site,full time,experienced,,2 hours ago,2.0,cairo,cairo,egypt
sales engineer (agriculture),magico group,"['agricultural engineering', 'r&d', 'technical support', 'sales engineering', 'export sales', 'sales coordination', 'agriculture']",hybrid,full time,experienced,,2 hours ago,2.0,obour city,cairo,egypt
compensation benefits specialist,holw el sham,"['compensation', 'payroll', 'human resources (hr)', 'customer service', 'communication', 'problem solving', 'initiative taking', 'follow through', 'working effectively with others']",on-site,full time,experienced,,3 hours ago,2.0,6th of october,giza,egypt
staffing & recruitment specialist,holw el sham,"['recruitment', 'staffing', 'personnel', 'microsoft office', 'erp', 'communication', 'problem solving', 'priority setting', 'thinking and problem solving']",on-site,full time,experienced,,3 hours ago,2.0,6th of october,giza,egypt
